Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GPN,GPN,GPN,GPN,GPN,GPN
Date,,,,,,
2001-01-16,3.4856863021850586,3.75,3.75,3.75,3.75,3200
2001-01-17,3.4856863021850586,3.75,3.75,3.75,3.75,122800
2001-01-18,3.834254264831543,4.125,4.125,3.875,3.875,167200
2001-01-19,3.9794921875,4.28125,4.28125,4.1875,4.1875,59600
2001-01-22,4.240918159484863,4.5625,4.625,4.25,4.25,146800
2001-01-23,4.357106685638428,4.6875,4.78125,4.5,4.5,76000
2001-01-24,4.240918159484863,4.5625,4.625,4.5625,4.625,560000
2001-01-25,4.357106685638428,4.6875,4.6875,4.625,4.65625,143200
2001-01-26,4.299011707305908,4.625,4.640625,4.625,4.625,82000
2001-01-29,4.345489501953125,4.675000190734863,4.6875,4.599999904632568,4.630000114440918,262000
2001-01-30,4.322251319885254,4.650000095367432,4.675000190734863,4.587500095367432,4.675000190734863,339200
2001-01-31,4.357106685638428,4.6875,4.762499809265137,4.675000190734863,4.675000190734863,326000
2001-02-01,4.856722831726074,5.224999904632568,5.300000190734863,4.690000057220459,4.75,2556800
2001-02-02,4.840458393096924,5.207499980926514,5.25,5.150000095367432,5.1875,795600
2001-02-05,4.640610218048096,4.992499828338623,5.362500190734863,4.980000019073486,5.212500095367432,644800
2001-02-06,4.5894880294799805,4.9375,5.005000114440918,4.9375,4.974999904632568,1338800
2001-02-07,4.647580146789551,5.0,5.0,4.912499904632568,4.925000190734863,1350400
2001-02-08,4.531392574310303,4.875,5.039999961853027,4.875,5.0,578800
2001-02-09,4.5894880294799805,4.9375,4.9375,4.875,4.875,441600
2001-02-12,4.484914302825928,4.824999809265137,4.9375,4.824999809265137,4.9375,327200
2001-02-13,4.473299980163574,4.8125,4.885000228881836,4.8125,4.824999809265137,648800
2001-02-14,4.433792591094971,4.769999980926514,4.8125,4.767499923706055,4.8125,135600
2001-02-15,4.252538204193115,4.574999809265137,4.787499904632568,4.574999809265137,4.775000095367432,454400
2001-02-16,4.199090480804443,4.517499923706055,4.525000095367432,4.349999904632568,4.525000095367432,427200
2001-02-20,4.203736782073975,4.522500038146973,4.537499904632568,4.452499866485596,4.517499923706055,1000400
2001-02-21,4.201413154602051,4.519999980926514,4.522500038146973,4.474999904632568,4.522500038146973,443600
2001-02-22,4.189793109893799,4.507500171661377,4.534999847412109,4.474999904632568,4.519999980926514,623600
2001-02-23,4.287392616271973,4.612500190734863,4.675000190734863,4.5,4.525000095367432,1222800
2001-02-26,4.415203094482422,4.75,4.78000020980835,4.625,4.625,1182400
2001-02-27,4.39196252822876,4.724999904632568,4.75,4.724999904632568,4.75,690000
2001-02-28,4.415203094482422,4.75,4.75,4.712500095367432,4.724999904632568,326000
2001-03-01,4.345489501953125,4.675000190734863,4.724999904632568,4.675000190734863,4.724999904632568,155200
2001-03-02,4.35943078994751,4.690000057220459,4.702499866485596,4.675000190734863,4.6875,836800
2001-03-05,4.417524337768555,4.752500057220459,4.762499809265137,4.6875,4.6875,402800
2001-03-06,4.368725299835205,4.699999809265137,4.775000095367432,4.699999809265137,4.752500057220459,610000
2001-03-07,4.412877559661865,4.747499942779541,4.747499942779541,4.699999809265137,4.699999809265137,89600
2001-03-08,4.368725299835205,4.699999809265137,4.744999885559082,4.699999809265137,4.744999885559082,211600
2001-03-09,4.36407995223999,4.695000171661377,4.702499866485596,4.675000190734863,4.699999809265137,269600
2001-03-12,4.345489501953125,4.675000190734863,4.724999904632568,4.662499904632568,4.695000171661377,106400
2001-03-13,4.287392616271973,4.612500190734863,4.712500095367432,4.612500190734863,4.712500095367432,671600
2001-03-14,4.159584045410156,4.474999904632568,4.637499809265137,4.46750020980835,4.612500190734863,455600
2001-03-15,4.050367832183838,4.357500076293945,4.449999809265137,4.287499904632568,4.449999809265137,1160400
2001-03-16,4.031776428222656,4.337500095367432,4.449999809265137,4.337500095367432,4.387499809265137,402800
2001-03-19,3.996919870376587,4.300000190734863,4.4375,4.287499904632568,4.287499904632568,1173600
2001-03-20,3.9736804962158203,4.275000095367432,4.389999866485596,4.25,4.3125,222000
2001-03-21,3.8691117763519287,4.162499904632568,4.300000190734863,4.0625,4.275000095367432,135200
2001-03-22,4.147965908050537,4.462500095367432,4.462500095367432,4.25,4.3125,2125600
2001-03-23,4.252538204193115,4.574999809265137,4.574999809265137,4.474999904632568,4.474999904632568,757600
2001-03-26,4.299011707305908,4.625,4.625,4.570000171661377,4.612500190734863,207600
2001-03-27,4.264155387878418,4.587500095367432,4.612500190734863,4.53249979019165,4.599999904632568,435200
